Date,Ingredients,Quantity Sold,Expiry Date,Promotion
2024-01-10,"Ice Cream, Spices",175,2024-03-10,5% Off
2024-01-11,"Cheese, Tomato Sauce",362,2024-02-10,Buy 1 Get 1
2024-01-12,"Eggs, Butter, Spices, Beans",249,2024-03-12,5% Off
2024-01-13,"Butter, Spices",456,2024-03-13,Buy 1 Get 1
2024-01-14,"Cinnamon, Lemon",450,2024-02-13,5% Off
2024-01-15,"Pasta Sauce, Vanilla, Orange, Lemon",412,2024-03-15,Bundle Deal
2024-01-16,"Pineapple, Orange, Flour",230,2024-03-16,50% Off Clearance
2024-01-17,"Berries, Orange, Brownie",309,2024-01-27,Buy 1 Get 1
2024-01-18,"Herbal Leaves, Brownie, Nuts, Cinnamon",493,2024-03-18,Free Shipping
2024-01-19,"Vanilla, Pineapple, Berries",341,2024-03-19,New Year Sale
2024-01-20,"Orange, Almond Milk, Butter",348,2024-02-03,Flash Sale
2024-01-21,"Tomato Sauce, Cardamom",69,2024-02-20,10% Off
2024-01-22,"Milk, Coffee Beans, Butter, Orange",291,2024-02-21,50% Off Clearance
2024-01-23,"Orange, Milk",178,2024-01-30,Seasonal Offer
2024-01-24,"Spices, Orange, Brownie",367,2024-03-24,Loyalty Discount
2024-01-25,"Cheese, Orange, Flour",132,2024-03-25,Loyalty Discount
2024-01-26,"Brownie, Sugar",437,2024-03-26,New Year Sale
2024-01-27,"Chocolate, Fruits",81,2024-03-27,Seasonal Offer
2024-01-28,"Pasta Sauce, Vegetables, Spices, Tea",106,2024-03-28,New Year Sale
2024-01-29,"Cinnamon, Flour",165,2024-03-29,New Year Sale
2024-01-30,"Lemon, Orange, Vegetables, Spices",464,2024-03-30,Bundle Deal
2024-01-31,"Nuts, Tomato Sauce, Cheese",270,2024-03-31,50% Off Clearance
2024-02-01,"Brownie, Herbal Leaves, Vanilla",152,2024-04-01,Buy 1 Get 1
2024-02-02,"Cardamom, Cream, Spices, Cheese",278,2024-04-02,Bundle Deal
2024-02-03,"Cinnamon, Cream",228,2024-03-04,Loyalty Discount
2024-02-04,Spices,217,2024-04-04,Free Shipping
2024-02-05,"Tortilla, Milk",84,2024-02-20,Buy 1 Get 1
2024-02-06,Eggs,152,2024-02-20,10% Off
2024-02-07,Sugar,218,2024-04-07,10% Off
2024-02-08,"Pineapple, Sugar, Herbal Leaves",52,2024-04-08,50% Off Clearance
2024-02-09,Brownie,378,2024-02-19,Loyalty Discount
2024-02-10,"Mint, Almond Milk",70,2024-02-24,50% Off Clearance
2024-02-11,"Milk, Coffee Beans, Spices, Fruits",388,2024-04-11,Flash Sale
2024-02-12,"Milk, Cheese, Vegetables",451,2024-02-26,New Year Sale
2024-02-13,Cream,294,2024-02-20,Loyalty Discount
2024-02-14,Berries,82,2024-02-21,50% Off Clearance
2024-02-15,Vegetables,306,2024-02-22,Free Shipping
2024-02-16,"Nuts, Butter, Berries",407,2024-04-16,Bundle Deal
2024-02-17,Herbal Leaves,262,2024-03-18,Flash Sale
2024-02-18,Orange,170,2024-02-25,Loyalty Discount
2024-02-19,Coffee Beans,369,2024-03-20,Loyalty Discount
2024-02-20,"Herbal Leaves, Green Tea, Cheese, Chocolate",333,2024-04-20,50% Off Clearance
2024-02-21,"Milk, Pasta Sauce, Butter, Almond Milk",453,2024-03-22,Free Shipping
2024-02-22,Eggs,148,2024-03-07,Bundle Deal
2024-02-23,"Butter, Vegetables",364,2024-03-08,Flash Sale
2024-02-24,"Fruits, Cream, Vanilla",79,2024-04-24,5% Off
2024-02-25,"Mint, Almond Milk",406,2024-03-10,Flash Sale
2024-02-26,"Tea, Cardamom",226,2024-03-27,10% Off
2024-02-27,"Milk, Cheese, Berries",205,2024-03-12,Bundle Deal
2024-02-28,"Brownie, Coffee Beans, Milk",329,2024-03-29,New Year Sale
2024-02-29,"Cheese, Green Tea, Cream, Beans",418,2024-03-30,New Year Sale
2024-03-01,"Lemon, Butter",54,2024-03-15,Loyalty Discount
2024-03-02,Coffee Beans,82,2024-04-01,New Year Sale
2024-03-03,Tomato Sauce,377,2024-04-02,Flash Sale
2024-03-04,"Pineapple, Tomato Sauce, Berries, Tea",466,2024-04-03,5% Off
2024-03-05,Cream,100,2024-03-12,10% Off
2024-03-06,"Cinnamon, Fruits, Brownie, Berries",454,2024-04-05,5% Off
2024-03-07,Fruits,463,2024-03-14,10% Off
2024-03-08,"Lemon, Almond Milk, Herbal Leaves, Vegetables",52,2024-04-07,Bundle Deal
2024-03-09,"Mint, Sugar",138,2024-05-08,Buy 1 Get 1
2024-03-10,"Orange, Cardamom",289,2024-04-09,10% Off
2024-03-11,"Tomato Sauce, Mint, Flour, Almond Milk",414,2024-05-10,50% Off Clearance
2024-03-12,"Beans, Chocolate, Vanilla",74,2024-05-11,Free Shipping
2024-03-13,"Tea, Butter, Berries",222,2024-04-12,Loyalty Discount
2024-03-14,"Spices, Milk, Flour",64,2024-05-13,50% Off Clearance
2024-03-15,"Fruits, Green Tea, Sugar",442,2024-05-14,Free Shipping
2024-03-16,"Green Tea, Ice Cream, Tomato Sauce, Brownie",247,2024-04-15,New Year Sale
2024-03-17,"Cheese, Tea, Orange",181,2024-04-16,New Year Sale
2024-03-18,Butter,250,2024-04-01,50% Off Clearance
2024-03-19,"Herbal Leaves, Butter",89,2024-04-18,Flash Sale
2024-03-20,"Eggs, Sugar",222,2024-05-19,Bundle Deal
2024-03-21,"Herbal Leaves, Vegetables",248,2024-04-20,Flash Sale
2024-03-22,Mint,395,2024-03-29,Buy 1 Get 1
2024-03-23,Butter,77,2024-04-06,50% Off Clearance
2024-03-24,"Chocolate, Brownie, Lemon",65,2024-05-23,Loyalty Discount
2024-03-25,"Fruits, Almond Milk, Tomato Sauce, Nuts",356,2024-05-24,Flash Sale
2024-03-26,Berries,130,2024-04-02,10% Off
2024-03-27,"Green Tea, Cardamom, Cinnamon, Chocolate",205,2024-05-26,Buy 1 Get 1
2024-03-28,"Spices, Coffee Beans, Nuts",380,2024-05-27,50% Off Clearance
2024-03-29,"Pineapple, Nuts, Flour",500,2024-05-28,Flash Sale
2024-03-30,"Sugar, Tea, Spices, Fruits",137,2024-05-29,10% Off
2024-03-31,"Tortilla, Eggs",495,2024-04-15,New Year Sale
2024-04-01,Fruits,413,2024-04-08,Buy 1 Get 1
2024-04-02,Cardamom,100,2024-05-02,10% Off
2024-04-03,"Tortilla, Almond Milk",103,2024-04-18,10% Off
2024-04-04,Coffee Beans,119,2024-05-04,New Year Sale
2024-04-05,"Cinnamon, Cardamom, Spices, Berries",266,2024-06-04,Buy 1 Get 1
2024-04-06,"Nuts, Ice Cream",50,2024-06-05,Seasonal Offer
2024-04-07,"Cinnamon, Fruits, Lemon",160,2024-05-07,New Year Sale
2024-04-08,"Cinnamon, Chocolate, Beans",280,2024-06-07,Buy 1 Get 1
2024-04-09,Tortilla,412,2024-04-24,Flash Sale
2024-04-10,"Butter, Cinnamon, Cheese, Pineapple",128,2024-05-10,10% Off
2024-04-11,Butter,349,2024-04-25,Free Shipping
2024-04-12,"Berries, Almond Milk",66,2024-04-26,5% Off
2024-04-13,"Coffee Beans, Almond Milk, Cream, Vegetables",128,2024-05-13,Free Shipping
2024-04-14,"Lemon, Berries, Brownie, Coffee Beans",488,2024-05-14,50% Off Clearance
2024-04-15,"Eggs, Vegetables, Herbal Leaves",295,2024-05-15,Seasonal Offer
2024-04-16,"Pasta Sauce, Nuts, Coffee Beans",473,2024-06-15,10% Off
2024-04-17,"Cinnamon, Cardamom, Mint",90,2024-05-17,5% Off
2024-04-18,"Mint, Tortilla",165,2024-05-03,New Year Sale
2024-04-19,"Beans, Cheese, Milk, Cinnamon",473,2024-05-19,Buy 1 Get 1
2024-04-20,"Tomato Sauce, Cardamom, Ice Cream",316,2024-05-20,50% Off Clearance
2024-04-21,"Chocolate, Herbal Leaves, Pasta Sauce",271,2024-06-20,Loyalty Discount
2024-04-22,"Almond Milk, Vegetables, Fruits",97,2024-05-06,Buy 1 Get 1
2024-04-23,"Flour, Vanilla, Almond Milk, Orange",165,2024-06-22,Buy 1 Get 1
2024-04-24,Lemon,350,2024-05-01,Seasonal Offer
2024-04-25,"Coffee Beans, Sugar",349,2024-06-24,10% Off
2024-04-26,"Vegetables, Milk, Butter",401,2024-05-10,50% Off Clearance
2024-04-27,"Flour, Ice Cream, Eggs",148,2024-06-26,Bundle Deal
2024-04-28,Almond Milk,213,2024-05-12,Bundle Deal
2024-04-29,"Vanilla, Cinnamon",359,2024-06-28,Seasonal Offer
2024-04-30,"Pineapple, Milk, Herbal Leaves",459,2024-05-30,5% Off
2024-05-01,"Herbal Leaves, Chocolate, Vegetables",495,2024-06-30,Free Shipping
2024-05-02,Butter,159,2024-05-16,Bundle Deal
2024-05-03,"Tortilla, Tea, Green Tea, Cardamom",374,2024-06-02,Flash Sale
2024-05-04,"Vanilla, Brownie, Cream, Flour",336,2024-07-03,Seasonal Offer
2024-05-05,"Pasta Sauce, Chocolate",265,2024-07-04,Flash Sale
2024-05-06,"Tortilla, Cinnamon, Herbal Leaves",73,2024-06-05,50% Off Clearance
2024-05-07,"Pineapple, Orange, Brownie",419,2024-05-17,Buy 1 Get 1
2024-05-08,Cream,423,2024-05-15,Flash Sale
2024-05-09,"Lemon, Eggs, Nuts, Ice Cream",205,2024-07-08,Seasonal Offer
2024-05-10,"Orange, Sugar",318,2024-07-09,Loyalty Discount
2024-05-11,"Sugar, Herbal Leaves",149,2024-07-10,New Year Sale
2024-05-12,"Milk, Green Tea",182,2024-06-11,Loyalty Discount
2024-05-13,"Brownie, Butter",275,2024-05-27,50% Off Clearance
2024-05-14,"Cheese, Pineapple, Milk",305,2024-05-28,Flash Sale
2024-05-15,"Tea, Tortilla, Lemon, Vegetables",270,2024-06-14,New Year Sale
2024-05-16,Orange,230,2024-05-23,Seasonal Offer
2024-05-17,Tortilla,312,2024-06-01,Free Shipping
2024-05-18,"Fruits, Sugar",235,2024-07-17,Flash Sale
2024-05-19,"Orange, Beans, Cream, Herbal Leaves",373,2024-06-18,Loyalty Discount
2024-05-20,"Chocolate, Lemon",151,2024-07-19,Flash Sale
2024-05-21,Cardamom,72,2024-06-20,Buy 1 Get 1
2024-05-22,Cinnamon,56,2024-06-21,Bundle Deal
2024-05-23,"Pasta Sauce, Milk",321,2024-06-22,Buy 1 Get 1
2024-05-24,"Ice Cream, Tomato Sauce",323,2024-06-23,5% Off
2024-05-25,"Beans, Cinnamon, Vanilla, Green Tea",332,2024-07-24,10% Off
2024-05-26,"Herbal Leaves, Cardamom",326,2024-06-25,Buy 1 Get 1
2024-05-27,"Orange, Milk, Beans",372,2024-06-26,10% Off
2024-05-28,"Fruits, Milk, Vegetables",338,2024-06-04,Bundle Deal
2024-05-29,"Berries, Pasta Sauce, Eggs, Butter",210,2024-06-28,Buy 1 Get 1
2024-05-30,"Cheese, Cream, Ice Cream, Vanilla",399,2024-07-29,Buy 1 Get 1
2024-05-31,Coffee Beans,460,2024-06-30,50% Off Clearance
2024-06-01,"Spices, Milk, Vanilla, Brownie",113,2024-07-31,10% Off
2024-06-02,"Cream, Milk, Herbal Leaves, Pasta Sauce",244,2024-07-02,Flash Sale
2024-06-03,"Butter, Orange",413,2024-06-17,Free Shipping
2024-06-04,Green Tea,191,2024-07-04,Seasonal Offer
2024-06-05,Orange,487,2024-06-12,Bundle Deal
2024-06-06,"Ice Cream, Berries, Spices, Lemon",370,2024-08-05,Loyalty Discount
2024-06-07,"Fruits, Beans, Vanilla, Vegetables",322,2024-08-06,Flash Sale
2024-06-08,"Sugar, Lemon, Tomato Sauce, Eggs",283,2024-08-07,10% Off
2024-06-09,"Almond Milk, Ice Cream, Spices",416,2024-08-08,Free Shipping
2024-06-10,"Nuts, Chocolate",491,2024-08-09,Loyalty Discount
2024-06-11,"Pineapple, Tea, Brownie",102,2024-07-11,Loyalty Discount
2024-06-12,"Nuts, Coffee Beans, Butter",304,2024-08-11,Loyalty Discount
2024-06-13,"Vegetables, Almond Milk, Lemon",226,2024-06-27,Buy 1 Get 1
2024-06-14,Vanilla,156,2024-08-13,Buy 1 Get 1
2024-06-15,"Sugar, Flour, Cream, Cinnamon",312,2024-08-14,Buy 1 Get 1
2024-06-16,"Eggs, Tea, Mint, Pasta Sauce",247,2024-07-16,New Year Sale
2024-06-17,Tortilla,310,2024-07-02,Flash Sale
2024-06-18,"Lemon, Butter, Cheese, Tomato Sauce",143,2024-07-18,Bundle Deal
2024-06-19,"Vegetables, Lemon",55,2024-06-26,Bundle Deal
2024-06-20,"Mint, Fruits, Chocolate",190,2024-08-19,Seasonal Offer
2024-06-21,"Orange, Chocolate, Spices",377,2024-08-20,Free Shipping
2024-06-22,"Beans, Butter, Almond Milk, Vegetables",363,2024-07-22,Bundle Deal
2024-06-23,"Almond Milk, Lemon",365,2024-07-07,Bundle Deal
2024-06-24,"Vegetables, Herbal Leaves, Chocolate, Cardamom",226,2024-08-23,5% Off
2024-06-25,"Beans, Tomato Sauce",106,2024-07-25,Flash Sale
2024-06-26,"Coffee Beans, Berries, Sugar",336,2024-08-25,50% Off Clearance
2024-06-27,"Herbal Leaves, Fruits, Vegetables",254,2024-07-27,50% Off Clearance
2024-06-28,Sugar,103,2024-08-27,Flash Sale
2024-06-29,"Cinnamon, Tomato Sauce, Green Tea",87,2024-07-29,Seasonal Offer
2024-06-30,"Tea, Sugar, Brownie",428,2024-08-29,Free Shipping
2024-07-01,"Fruits, Berries",160,2024-07-08,New Year Sale
2024-07-02,Mint,279,2024-07-09,Loyalty Discount
2024-07-03,"Vanilla, Tortilla, Milk, Tea",366,2024-09-01,Flash Sale
2024-07-04,Sugar,70,2024-09-02,Flash Sale
2024-07-05,"Berries, Tea, Fruits, Green Tea",338,2024-08-04,10% Off
2024-07-06,"Cheese, Ice Cream",409,2024-08-05,Loyalty Discount
2024-07-07,Ice Cream,444,2024-08-06,Seasonal Offer
2024-07-08,"Nuts, Lemon, Sugar",193,2024-09-06,Flash Sale
2024-07-09,"Eggs, Milk, Chocolate, Butter",408,2024-09-07,Flash Sale
2024-07-10,"Mint, Nuts",190,2024-09-08,10% Off
2024-07-11,"Tortilla, Tea",307,2024-08-10,10% Off
2024-07-12,Cardamom,231,2024-08-11,50% Off Clearance
2024-07-13,"Cardamom, Milk, Vanilla, Tea",492,2024-09-11,Bundle Deal
2024-07-14,"Nuts, Butter",351,2024-09-12,10% Off
2024-07-15,"Cheese, Tortilla, Herbal Leaves",327,2024-08-14,Bundle Deal
2024-07-16,"Lemon, Orange, Tortilla",174,2024-07-31,New Year Sale
2024-07-17,"Flour, Cheese, Green Tea",478,2024-09-15,Buy 1 Get 1
2024-07-18,"Beans, Orange, Mint",419,2024-08-17,Seasonal Offer
2024-07-19,"Ice Cream, Cream",274,2024-08-18,Free Shipping
2024-07-20,"Spices, Coffee Beans, Cardamom, Green Tea",241,2024-09-18,5% Off
2024-07-21,"Cinnamon, Tomato Sauce, Fruits",211,2024-08-20,Buy 1 Get 1
2024-07-22,"Berries, Butter, Cheese",449,2024-08-05,Seasonal Offer
2024-07-23,"Berries, Green Tea, Coffee Beans",131,2024-08-22,New Year Sale
2024-07-24,"Vegetables, Cardamom, Tortilla, Eggs",292,2024-08-23,New Year Sale
2024-07-25,Herbal Leaves,282,2024-08-24,Bundle Deal
2024-07-26,"Pineapple, Green Tea",333,2024-08-25,10% Off
2024-07-27,"Herbal Leaves, Pasta Sauce, Tortilla",194,2024-08-26,Buy 1 Get 1
2024-07-28,Butter,426,2024-08-11,10% Off
2024-07-29,"Berries, Vegetables, Lemon",387,2024-08-05,Free Shipping
2024-07-30,"Mint, Chocolate",122,2024-09-28,Bundle Deal
2024-07-31,Cream,131,2024-08-07,Loyalty Discount
2024-08-01,"Chocolate, Vanilla, Tea",493,2024-09-30,10% Off
2024-08-02,"Mint, Milk, Herbal Leaves, Vanilla",210,2024-10-01,Bundle Deal
2024-08-03,"Berries, Chocolate",238,2024-10-02,Flash Sale
2024-08-04,"Eggs, Cheese",418,2024-08-18,50% Off Clearance
2024-08-05,"Milk, Tomato Sauce, Vegetables, Coffee Beans",55,2024-09-04,Buy 1 Get 1
2024-08-06,"Butter, Cheese, Herbal Leaves",171,2024-09-05,Seasonal Offer
2024-08-07,Eggs,121,2024-08-21,5% Off
2024-08-08,"Flour, Orange, Herbal Leaves",478,2024-10-07,Buy 1 Get 1
2024-08-09,Tortilla,52,2024-08-24,Loyalty Discount
2024-08-10,"Butter, Nuts, Tomato Sauce",178,2024-10-09,Bundle Deal
2024-08-11,Tomato Sauce,193,2024-09-10,Bundle Deal
2024-08-12,"Lemon, Tea, Sugar",259,2024-10-11,10% Off
2024-08-13,"Berries, Pasta Sauce, Cardamom, Ice Cream",248,2024-09-12,10% Off
2024-08-14,"Eggs, Green Tea",324,2024-09-13,Loyalty Discount
2024-08-15,"Brownie, Butter, Fruits",365,2024-08-29,New Year Sale
2024-08-16,Eggs,332,2024-08-30,Flash Sale
2024-08-17,Almond Milk,290,2024-08-31,Flash Sale
2024-08-18,Tea,492,2024-09-17,Bundle Deal
2024-08-19,"Cheese, Vegetables, Ice Cream",156,2024-09-18,Buy 1 Get 1
2024-08-20,Pasta Sauce,406,2024-09-19,Free Shipping
2024-08-21,Almond Milk,180,2024-09-04,Free Shipping
2024-08-22,Orange,126,2024-08-29,Loyalty Discount
2024-08-23,"Pasta Sauce, Nuts",172,2024-10-22,50% Off Clearance
2024-08-24,Tea,346,2024-09-23,New Year Sale
2024-08-25,"Ice Cream, Pasta Sauce",448,2024-09-24,5% Off
2024-08-26,"Tortilla, Cheese, Mint",261,2024-09-10,New Year Sale
2024-08-27,"Tea, Tortilla, Pineapple, Herbal Leaves",52,2024-09-26,Loyalty Discount
2024-08-28,Cinnamon,330,2024-09-27,Free Shipping
2024-08-29,Milk,291,2024-09-05,New Year Sale
2024-08-30,"Fruits, Flour",275,2024-10-29,10% Off
2024-08-31,"Vegetables, Ice Cream",386,2024-09-30,5% Off
2024-09-01,"Orange, Vegetables, Cheese",271,2024-09-15,Free Shipping
2024-09-02,Tomato Sauce,266,2024-10-02,Seasonal Offer
2024-09-03,"Green Tea, Mint",335,2024-10-03,Buy 1 Get 1
2024-09-04,Sugar,173,2024-11-03,10% Off
2024-09-05,"Tortilla, Almond Milk",460,2024-09-20,10% Off
2024-09-06,"Cardamom, Coffee Beans",243,2024-10-06,Seasonal Offer
2024-09-07,Almond Milk,388,2024-09-21,10% Off
2024-09-08,"Orange, Tea",376,2024-10-08,5% Off
2024-09-09,Flour,270,2024-11-08,50% Off Clearance
2024-09-10,"Herbal Leaves, Pasta Sauce, Lemon, Spices",262,2024-11-09,Buy 1 Get 1
2024-09-11,"Vanilla, Pasta Sauce, Milk, Green Tea",182,2024-11-10,Flash Sale
2024-09-12,"Butter, Lemon",53,2024-09-26,New Year Sale
2024-09-13,"Green Tea, Herbal Leaves",351,2024-10-13,50% Off Clearance
2024-09-14,"Tea, Nuts, Berries, Sugar",184,2024-11-13,Bundle Deal
2024-09-15,"Eggs, Berries, Cardamom, Sugar",94,2024-11-14,New Year Sale
2024-09-16,"Pineapple, Coffee Beans, Sugar",75,2024-11-15,New Year Sale
2024-09-17,Flour,61,2024-11-16,Buy 1 Get 1
2024-09-18,"Cream, Berries, Pineapple",375,2024-09-25,5% Off
2024-09-19,"Almond Milk, Nuts, Cheese",212,2024-11-18,New Year Sale
2024-09-20,"Cheese, Ice Cream",178,2024-10-20,Loyalty Discount
2024-09-21,Lemon,127,2024-09-28,Flash Sale
2024-09-22,"Tea, Lemon",169,2024-10-22,Bundle Deal
2024-09-23,"Mint, Berries, Orange",173,2024-09-30,5% Off
2024-09-24,"Berries, Tomato Sauce, Beans",195,2024-10-24,Buy 1 Get 1
2024-09-25,Tea,366,2024-10-25,Free Shipping
2024-09-26,Butter,309,2024-10-10,Flash Sale
2024-09-27,Fruits,310,2024-10-04,Buy 1 Get 1
2024-09-28,"Mint, Tomato Sauce",136,2024-10-28,Bundle Deal
2024-09-29,"Beans, Milk, Tea",275,2024-10-29,Seasonal Offer
2024-09-30,"Tea, Cinnamon",291,2024-10-30,Flash Sale
2024-10-01,"Lemon, Herbal Leaves, Pasta Sauce",327,2024-10-31,5% Off
2024-10-02,Fruits,53,2024-10-09,Bundle Deal
2024-10-03,Milk,145,2024-10-10,Free Shipping
2024-10-04,"Beans, Tea, Almond Milk",82,2024-11-03,New Year Sale
2024-10-05,"Herbal Leaves, Tea, Flour",231,2024-12-04,Seasonal Offer
2024-10-06,"Sugar, Cheese",89,2024-12-05,5% Off
2024-10-07,Tomato Sauce,264,2024-11-06,50% Off Clearance
2024-10-08,"Cinnamon, Tomato Sauce",170,2024-11-07,Bundle Deal
2024-10-09,"Flour, Almond Milk, Vanilla",210,2024-12-08,50% Off Clearance
2024-10-10,"Tomato Sauce, Vanilla",111,2024-12-09,5% Off
2024-10-11,"Tomato Sauce, Cream, Cheese",222,2024-11-10,10% Off
2024-10-12,Tea,309,2024-11-11,5% Off
2024-10-13,"Tea, Vanilla",397,2024-12-12,Loyalty Discount
2024-10-14,"Flour, Pasta Sauce, Nuts",233,2024-12-13,Seasonal Offer
2024-10-15,"Coffee Beans, Cinnamon, Spices",83,2024-12-14,Buy 1 Get 1
2024-10-16,"Ice Cream, Pineapple, Almond Milk, Vanilla",255,2024-12-15,Bundle Deal
2024-10-17,"Chocolate, Green Tea, Pineapple, Pasta Sauce",268,2024-12-16,New Year Sale
2024-10-18,"Tomato Sauce, Mint, Brownie",295,2024-11-17,Seasonal Offer
2024-10-19,"Almond Milk, Fruits",279,2024-11-02,Buy 1 Get 1
2024-10-20,"Lemon, Tea",134,2024-11-19,10% Off
2024-10-21,"Eggs, Vanilla, Chocolate",150,2024-12-20,Loyalty Discount
2024-10-22,"Berries, Cheese, Tomato Sauce, Sugar",382,2024-12-21,10% Off
2024-10-23,"Tomato Sauce, Coffee Beans",496,2024-11-22,50% Off Clearance
2024-10-24,"Lemon, Brownie",337,2024-11-03,10% Off
2024-10-25,"Flour, Fruits, Pineapple, Cinnamon",453,2024-12-24,50% Off Clearance
2024-10-26,Fruits,277,2024-11-02,Bundle Deal
2024-10-27,"Vegetables, Green Tea, Brownie, Tortilla",477,2024-11-26,Free Shipping
2024-10-28,"Orange, Cinnamon",347,2024-11-27,Bundle Deal
2024-10-29,"Spices, Chocolate",435,2024-12-28,Loyalty Discount
2024-10-30,"Spices, Herbal Leaves, Cheese, Green Tea",154,2024-12-29,New Year Sale
2024-10-31,Brownie,138,2024-11-10,Buy 1 Get 1
2024-11-01,Pasta Sauce,497,2024-12-01,Buy 1 Get 1
2024-11-02,Sugar,181,2025-01-01,10% Off
2024-11-03,"Vanilla, Eggs, Sugar",277,2025-01-02,Flash Sale
2024-11-04,"Berries, Nuts, Herbal Leaves",138,2025-01-03,Free Shipping
2024-11-05,"Pasta Sauce, Pineapple",210,2024-12-05,Flash Sale
2024-11-06,"Beans, Spices",424,2025-01-05,Bundle Deal
2024-11-07,"Pineapple, Vanilla, Tea, Sugar",89,2025-01-06,Flash Sale
2024-11-08,"Mint, Brownie",468,2024-11-18,Bundle Deal
2024-11-09,"Orange, Butter, Cardamom, Ice Cream",199,2024-12-09,Free Shipping
2024-11-10,Orange,293,2024-11-17,New Year Sale
2024-11-11,Cardamom,124,2024-12-11,Flash Sale
2024-11-12,Cinnamon,338,2024-12-12,Loyalty Discount
2024-11-13,"Butter, Sugar",275,2025-01-12,Free Shipping
2024-11-14,Nuts,437,2025-01-13,New Year Sale
2024-11-15,Ice Cream,54,2024-12-15,50% Off Clearance
2024-11-16,"Beans, Orange",189,2024-12-16,10% Off
2024-11-17,"Mint, Green Tea, Chocolate",213,2025-01-16,Free Shipping
2024-11-18,"Cinnamon, Lemon, Coffee Beans, Chocolate",245,2025-01-17,Flash Sale
2024-11-19,Flour,259,2025-01-18,New Year Sale
2024-11-20,"Mint, Cheese, Berries, Vanilla",442,2025-01-19,Seasonal Offer
2024-11-21,"Pineapple, Beans, Berries",451,2024-12-21,Flash Sale
2024-11-22,"Cinnamon, Eggs, Beans",438,2024-12-22,Seasonal Offer
2024-11-23,"Green Tea, Vanilla, Herbal Leaves, Spices",395,2025-01-22,10% Off
2024-11-24,Lemon,339,2024-12-01,Flash Sale
2024-11-25,Eggs,497,2024-12-09,Loyalty Discount
2024-11-26,Flour,435,2025-01-25,Flash Sale
2024-11-27,"Ice Cream, Tortilla, Vegetables, Chocolate",440,2025-01-26,Bundle Deal
2024-11-28,"Coffee Beans, Milk, Mint",212,2024-12-28,Free Shipping
2024-11-29,"Ice Cream, Cheese",449,2024-12-29,5% Off
2024-11-30,"Tea, Eggs, Cream, Flour",480,2025-01-29,Seasonal Offer
2024-12-01,"Coffee Beans, Chocolate",436,2025-01-30,Flash Sale
2024-12-02,"Almond Milk, Nuts",187,2025-01-31,Bundle Deal
2024-12-03,"Spices, Mint, Pasta Sauce",376,2025-02-01,New Year Sale
2024-12-04,"Beans, Almond Milk, Orange, Cardamom",441,2025-01-03,50% Off Clearance
2024-12-05,"Mint, Berries, Chocolate, Fruits",140,2025-02-03,Loyalty Discount
2024-12-06,"Cheese, Vanilla",418,2025-02-04,50% Off Clearance
2024-12-07,"Flour, Lemon",206,2025-02-05,Seasonal Offer
2024-12-08,"Coffee Beans, Orange, Brownie",419,2025-01-07,Flash Sale
2024-12-09,"Tortilla, Nuts, Tomato Sauce",284,2025-02-07,Bundle Deal
2024-12-10,"Cream, Butter, Tomato Sauce, Pineapple",141,2025-01-09,Loyalty Discount
2024-12-11,"Cheese, Brownie",402,2024-12-25,New Year Sale
2024-12-12,"Berries, Eggs, Cheese",412,2024-12-26,5% Off
2024-12-13,"Milk, Cream, Cinnamon",323,2025-01-12,Free Shipping
2024-12-14,"Cardamom, Lemon, Spices, Cinnamon",388,2025-02-12,Loyalty Discount
2024-12-15,"Pineapple, Flour, Cream, Cardamom",416,2025-02-13,Flash Sale
2024-12-16,Tomato Sauce,232,2025-01-15,Seasonal Offer
2024-12-17,Tortilla,305,2025-01-01,Free Shipping
2024-12-18,"Flour, Pineapple, Tea, Sugar",323,2025-02-16,Flash Sale
2024-12-19,"Spices, Mint, Sugar",310,2025-02-17,50% Off Clearance
2024-12-20,"Vegetables, Berries, Pasta Sauce, Fruits",233,2025-01-19,New Year Sale
2024-12-21,"Coffee Beans, Butter, Vanilla",260,2025-02-19,Seasonal Offer
2024-12-22,"Milk, Coffee Beans, Eggs, Brownie",130,2025-01-21,10% Off
2024-12-23,Green Tea,410,2025-01-22,50% Off Clearance
2024-12-24,"Vegetables, Coffee Beans, Fruits, Vanilla",425,2025-02-22,Seasonal Offer
2024-12-25,Cheese,68,2025-01-08,50% Off Clearance
2024-12-26,"Flour, Brownie",121,2025-02-24,Seasonal Offer
2024-12-27,Pasta Sauce,363,2025-01-26,Free Shipping
2024-12-28,Vegetables,386,2025-01-04,Buy 1 Get 1
2024-12-29,"Butter, Eggs, Coffee Beans",375,2025-01-28,Flash Sale
2024-12-30,"Mint, Fruits, Spices",413,2025-02-28,Loyalty Discount
2024-01-01,"Tea, Beans, Pasta Sauce",259,2024-01-31,New Year Sale
2024-01-02,"Lemon, Spices",365,2024-03-02,5% Off
2024-01-03,Spices,350,2024-03-03,50% Off Clearance
2024-01-04,"Eggs, Green Tea",177,2024-02-03,5% Off
2024-01-05,"Green Tea, Eggs",339,2024-02-04,Bundle Deal
2024-01-06,"Coffee Beans, Flour, Vanilla, Spices",222,2024-03-06,Flash Sale
2024-01-07,"Cheese, Beans, Spices, Vanilla",193,2024-03-07,5% Off
2024-01-08,"Eggs, Beans, Fruits",147,2024-02-07,10% Off
2024-01-09,"Herbal Leaves, Sugar",53,2024-03-09,Loyalty Discount
